ballot_number,ballot_name,position
1,"ABALOS, BENHUR (PFP)",SENATOR
18,"CAYETANO, PIA (NP)",SENATOR
35,"LAPID, LITO (NPC)",SENATOR
52,"QUERUBIN, ARIEL PORFIRIO (NP)",SENATOR
2,"ADONIS, JEROME (MKBYN)",SENATOR
19,"D'ANGELO, DAVID (BUNYOG)",SENATOR
36,"LEE, MANOY WILBERT (AKSYON)",SENATOR
53,"QUIBOLOY, APOLLO (IND)",SENATOR
3,"AMAD, WILSON (IND)",SENATOR
20,"DE ALBAN,ATTORNEY ANGELO (IND)",SENATOR
37,"LIDASAN, AMIRAH (MKBYN)",SENATOR
54,"RAMOS, DANILO (MKBYN)",SENATOR
4,"ANDAMO, NARS ALYN (MKBYN)",SENATOR
21,"DE GUZMAN, KA LEODY (PLM)",SENATOR
38,"MARCOLETA, RODANTE (IND)",SENATOR
55,"REVILLAME, WILLIE WIL (IND)",SENATOR
5,"AQUINO, BAM (KNP)",SENATOR
22,"DELA ROSA, BATO (PDPLBN)",SENATOR
39,"MARCOS, IMEE R. (NP)",SENATOR
56,"RODRIGUEZ, ATTY. VIC (IND)",SENATOR
6,"ARAMBULO, RONNEL (MKBYN)",SENATOR
23,"DORINGO, NANAY MIMI (MKBYN)",SENATOR
40,"MARQUEZ, NORMAN (IND)",SENATOR
57,"SAHIDULLA, NUR-ANA (IND)",SENATOR
7,"ARELLANO, ERNESTO (KTPNAN)",SENATOR
24,"ESCOBAL, ARNEL (PM)",SENATOR
41,"MARTINEZ, ERIC (IND)",SENATOR
58,"SALVADOR, PHILLIP IPE (PDPLBN)",SENATOR
8,"BALLON, ROBERTO (IND)",SENATOR
25,"ESPIRITU, LUKE (PLM)",SENATOR
42,"MATA, DOC MARITES (IND)",SENATOR
59,"SOTTO, TITO (NPC)",SENATOR
9,"BINAY, ABBY (NPC)",SENATOR
26,"FLORANDA, MODY PISTON (MKBYN)",SENATOR
43,"MATULA, ATTY. SONNY (WPP)",SENATOR
60,"TAPADO, MICHAEL BONGBONG (PM)",SENATOR
10,"BONDOC, JIMMY (PDPLBN)",SENATOR
27,"GAMBOA, MARC LOUIE (IND)",SENATOR
44,"MAZA, LIZA (MKBYN)",SENATOR
61,"TOLENTINO, FRANCIS TOL (PFP)",SENATOR
11,"BONG REVILLA,RAMON, JR.(LAKAS)",SENATOR
28,"GO, BONG GO (PDPLBN)",SENATOR
45,"MENDOZA, HEIDI (IND)",SENATOR
62,"TULFO, BEN BITAG (IND)",SENATOR
12,"BOSITA, COLONEL (IND)",SENATOR
29,"GONZALES, NORBERTO (PDSP)",SENATOR
46,"MONTEMAYOR, JOEY (IND)",SENATOR
63,"TULFO, ERWIN (LAKAS)",SENATOR
13,"BROSAS, ARLENE (MKBYN)",SENATOR
30,"HINLO, JAYVEE (PDPLBN)",SENATOR
47,"MUSTAPHA, SUBAIR (WPP)",SENATOR
64,"VALBUENA, MAR MANIBELA (IND)",SENATOR
14,"CABONEGRO, ROY (DPP)",SENATOR
31,"HONASAN, GRINGO (RP)",SENATOR
48,"OLIVAR, JOSE JESSIE (IND)",SENATOR
65,"VERCELES, LEANDRO (IND)",SENATOR
15,"CAPUYAN, ALLEN (PPP)",SENATOR
32,"JOSE, RELLY JR. (KBL)",SENATOR
49,"ONG, DOC WILLIE (AKSYON)",SENATOR
66,"VILLAR, CAMILLE (NP)",SENATOR
16,"CASIÑO, TEDDY (MKBYN)",SENATOR
33,"LACSON, PING (IND)",SENATOR
50,"PACQUIAO, MANNY PACMAN (PFP)",SENATOR
17,"CASTRO, TEACHER FRANCE (MKBYN)",SENATOR
34,"LAMBINO, RAUL (PDPLBN)",SENATOR
51,"PANGILINAN, KIKO (LP)",SENATOR
